a,,,,,,,,,,,,,,,,
able,ablest,ables,abled,abling,ablings,,,,,,,,,,,
about,,,,,,,,,,,,,,,,
absolutely,,,,,,,,,,,,,,,,
accept,accepted,accepting,acceptings,,,,,,,,,,,,,
account,accounted,accounting,accountings,,,,,,,,,,,,,
across,,,,,,,,,,,,,,,,
action,actioned,actioning,actionings,,,,,,,,,,,,,
actually,,,,,,,,,,,,,,,,
add,added,adding,addings,,,,,,,,,,,,,
address,addressed,addressing,addressings,,,,,,,,,,,,,
affect,affected,affecting,affectings,,,,,,,,,,,,,
after,,,,,,,,,,,,,,,,
afternoon,,,,,,,,,,,,,,,,
again,,,,,,,,,,,,,,,,
against,,,,,,,,,,,,,,,,
age,aged,aging,ageing,ageings,,,,,,,,,,,,
ago,,,,,,,,,,,,,,,,
agree,agreed,agreeing,agreeings,,,,,,,,,,,,,
ahead,,,,,,,,,,,,,,,,
air,aired,airing,airings,,,,,,,,,,,,,
all,,,,,,,,,,,,,,,,
allow,allowed,allowing,allowings,,,,,,,,,,,,,
almost,,,,,,,,,,,,,,,,
along,,,,,,,,,,,,,,,,
already,,,,,,,,,,,,,,,,
alright,,,,,,,,,,,,,,,,
also,,,,,,,,,,,,,,,,
although,,,,,,,,,,,,,,,,
always,,,,,,,,,,,,,,,,
amount,amounted,amounting,amountings,,,,,,,,,,,,,
and,anded,anding,,,,,,,,,,,,,,
another,,,,,,,,,,,,,,,,
answer,answered,answering,answerings,,,,,,,,,,,,,
any,,,,,,,,,,,,,,,,
anybody,,,,,,,,,,,,,,,,
anyone,,,,,,,,,,,,,,,,
anything,,,,,,,,,,,,,,,,
anyway,,,,,,,,,,,,,,,,
apply,applied,applying,applyings,,,,,,,,,,,,,
area,,,,,,,,,,,,,,,,
around,,,,,,,,,,,,,,,,
as,,,,,,,,,,,,,,,,
ask,asked,asking,askings,,,,,,,,,,,,,
at,,,,,,,,,,,,,,,,
available,,,,,,,,,,,,,,,,
aware,,,,,,,,,,,,,,,,
away,,,,,,,,,,,,,,,,
awful,,,,,,,,,,,,,,,,
baby,babied,babying,babys,,,,,,,,,,,,,
back,backed,backing,backings,,,,,,,,,,,,,
bad,worst,badder,baddest,,,,,,,,,,,,,
bag,bagged,bagging,baggings,,,,,,,,,,,,,
base,based,basing,baser,basest,,,,,,,,,,,,
basically,,,,,,,,,,,,,,,,
be,m,is,isn,s,are,re,aren,ain,been,was,wasn,were,weren,being,bein,beings
bear,beared,bearing,borne,bearings,,,,,,,,,,,,
because,coz,,,,,,,,,,,,,,,
become,became,becoming,becomeing,becomeings,,,,,,,,,,,,
bed,bedded,bedding,beddings,,,,,,,,,,,,,
before,,,,,,,,,,,,,,,,
begin,began,beginning,begun,beginned,beginnings,,,,,,,,,,,
behind,,,,,,,,,,,,,,,,
