No.,章,古語,品詞,Core（重要意味）,覚え方・補足,重要度,暗記チェック
1,第1章,あく,動詞・カ行四段,満足する,「飽きる」は紙一重。古文では「満足する」が中心,★★★,
2,第1章,おどろく,動詞・カ行四段,目を覚ます・はっとする,古典では「びっくりする」の意味はまれ,★★★,
3,第1章,ながむ,動詞・マ行下二段,物思いにふける・和歌を詠む,「眺める」ではなく内面的な行為,★★★,
4,第1章,ねんず,動詞・サ行変格,我慢する・祈る,念じる→こらえる,★★,
5,第1章,わぶ,動詞・バ行上二段,つらく思う・困る・わびしく暮らす,「詫びる」とは別語,★★★,
6,第1章,おこなふ,動詞・ハ行四段,仏道修行をする,「行ふ」=仏道の修行,★★,
7,第1章,とぶらふ,動詞・ハ行四段,訪問する・弔問する,「訪ふ」＝訪問。「弔ふ」＝弔問,★,
8,第1章,ののしる,動詞・ラ行四段,大声を出す・大騒ぎする・評判になる,「罵倒する」とは大違い,★,
9,第1章,おこす,動詞・サ行四段,（手紙・贈り物を）よこす,「怒る」ではない,★★,
10,第1章,まもる,動詞・ラ行四段,じっと見つめる,「目」＋「守る」→「見守る」が原義,★,
11,第1章,わづらふ,動詞・ハ行四段,病気になる・思い悩む・困る,病気以外に精神的な苦しみも表す,★,
12,第1章,ながらふ,動詞・ハ行下二段,生き長らえる・長い間〜し続ける,「ながら」+存続,★★,
13,第1章,ありつく,動詞・カ行四段,落ち着く・身分相応になる,身分相応→落ちぶれる→落ち着く,★★,
14,第1章,はしたなし,形容詞・ク活用,中途半端だ・きまりが悪い,「端」になる→中途半端→恥ずかしい,★★★,
15,第1章,かなし,形容詞・シク活用,愛し＝かわいい／悲し＝気の毒だ,「愛し」と「悲（哀）し」の二系統,★★★,
16,第1章,いみじ,形容詞・シク活用,程度がはなはだしい（すばらしい／ひどい）,「忌む」に関連。良い意味でも悪い意味でも使う,★★★,
17,第1章,ゆゆし,形容詞・シク活用,不吉だ・恐ろしいほど〜だ・すばらしい,「忌々しい」と同根,★★★,
18,第1章,めでたし,形容詞・ク活用,すばらしい,very good / excellent。現代語の「おめでたい」とは違う,★★★,
19,第1章,なまめかし,形容詞・シク活用,優雅だ・上品で美しい,「なま」＝若々しく美しい → 優雅,★★,
20,第1章,ありがたし,形容詞・ク活用,めったにない,「有ること」が「難し」→ めったにない,★★★,
21,第1章,おほけなし,形容詞・ク活用,身の程知らずだ・恐れ多い,分不相応なことをする,★★,
22,第1章,すなほなり,形容動詞・ナリ活用,まっすぐだ・あるべき姿だ,現代語「素直」とはニュアンスが違う,★★,
23,第1章,あらまほし,形容詞・シク活用,理想的だ・あってほしい,「あり」＋「まほし」（願望）,★★,
24,第1章,なさけなし,形容詞・ク活用,風情を解さない・思いやりがない,現代語「情けない」とは意味が違う,★★★,
25,第1章,なほざりなり,形容動詞・ナリ活用,おろそかだ・いい加減だ,,★★,
26,第1章,さうざうし,形容詞・シク活用,物足りない・寂しい,「騒々しい」とは全くの別語,★,
27,第1章,なめげなり,形容動詞・ナリ活用,無礼だ・失礼だ,,★,
28,第1章,なのめなり,形容動詞・ナリ活用,平凡だ・いいかげんだ,,★,
29,第1章,あさまし,形容詞・シク活用,驚きあきれるほど…,「…」は文脈から判断。驚き→あきれ→卑しい,★★★,
30,第1章,あさまし（続き）,,※29と同じ項目。「卑し」は文脈判断,驚き・あきれ・卑しさの3段階,★★★,
